District,HouseType,Orientation,Fixture,Bedroom,LivingRoom,Area,Year,Lift,GreenRate,Price
奉贤,板楼,南,毛坯,2,2,100.33,2006,0,35.0,9968
嘉定,板塔结合,西北,精装,3,2,77.73,2017,1,35.0,10678
奉贤,板楼,南,平层/毛坯,2,1,80.96,2013,1,54.5,10747
奉贤,板楼,南,毛坯,3,2,126.85,2006,0,35.0,10879
奉贤,板楼,南,平层/简装,2,2,106.53,2009,1,37.1,11077
奉贤,板楼,南,平层/简装,3,2,131.62,2009,0,37.1,11093
奉贤,板楼,南,平层/毛坯,3,2,131.99,2009,0,37.1,11138
奉贤,板楼,南 北,平层/简装,2,2,99.28,2010,1,37.1,11282
奉贤,板楼,南,平层/毛坯,3,2,112.49,2006,0,35.0,11379
奉贤,板楼,北,精装,1,1,37.62,2016,1,41.0,11431
奉贤,板楼,南,平层/毛坯,1,1,63.7,2009,0,37.1,11774
奉贤,板楼,东 东南 南 西,平层/精装,1,1,66.5,2015,1,36.7,11880
浦东,板楼,北,精装,1,1,47.4,2016,1,23.0,12026
奉贤,板楼,南,平层/毛坯,3,2,130.75,2009,0,37.1,12085
奉贤,板楼,南,平层/简装,2,2,99.24,2006,0,35.0,12092
奉贤,板楼,南,复式/毛坯,4,2,171.65,2010,0,37.1,12118
奉贤,板楼,南,平层/毛坯,1,1,65.63,2012,1,43.0,12190
奉贤,板楼,南,平层/毛坯,3,2,131.02,2009,0,37.1,12212
奉贤,板楼,南 北,平层/毛坯,1,1,73.67,2009,0,37.1,12217
奉贤,板楼,南,平层/毛坯,2,2,99.6,2009,0,37.1,12249
奉贤,板楼,南 北,平层/简装,3,2,105.92,2006,0,35.0,12274
奉贤,板楼,南,平层/简装,1,1,65.13,2012,1,43.0,12284
奉贤,板楼,东南,平层/精装,1,1,81.41,2011,1,54.5,12284
奉贤,塔楼,北,精装,1,1,38.94,2016,1,41.0,12327
奉贤,板楼,北,平层/精装,2,1,55.85,2016,1,41.0,12355
奉贤,板楼,南 北,平层/简装,2,1,92.83,2006,0,35.0,12389
奉贤,板楼,南,简装,2,1,92.83,2006,0,35.0,12389
奉贤,板楼,东南 南,平层/精装,2,2,92.72,2015,1,36.7,12403
奉贤,板楼,南,平层/精装,3,1,106.35,2006,0,35.0,12412
奉贤,板楼,南,平层/精装,3,2,106.35,2006,0,35.0,12459
奉贤,板楼,南,平层/精装,3,2,125.37,2006,0,35.0,12484
奉贤,板楼,南,平层/简装,3,2,99.24,2006,0,35.0,12500
奉贤,板楼,南,平层/精装,3,2,137.52,2009,1,37.1,12508
奉贤,板楼,南,平层/精装,2,1,55.85,2016,1,41.0,12516
奉贤,板楼,北,平层/精装,2,1,55.85,2016,1,41.0,12534
奉贤,板楼,南 北,平层/精装,2,2,103.6,2009,1,37.1,12549
奉贤,板楼,南,平层/简装,2,1,63.7,2009,0,37.1,12559
奉贤,板楼,南,平层/简装,3,2,132.14,2009,0,37.1,12563
奉贤,板楼,北,平层/精装,1,1,41.33,2016,1,41.0,12582
奉贤,板楼,南,平层/简装,2,1,80.96,2011,1,54.5,12599
奉贤,板楼,南,平层/毛坯,2,2,106.89,2009,1,37.1,12630
奉贤,板楼,南,精装,3,2,132.14,2009,0,37.1,12714
奉贤,板楼,南,平层/毛坯,2,1,65.28,2012,1,43.0,12715
奉贤,板楼,南 北,平层/毛坯,3,2,137.52,2009,1,37.1,12726
奉贤,板楼,南,平层/简装,2,1,80.89,2011,1,54.5,12734
奉贤,板楼,北,平层/精装,1,1,37.68,2016,1,41.0,12739
奉贤,板楼,南,平层/毛坯,1,1,65.13,2012,1,43.0,12744
奉贤,板楼,南,平层/毛坯,2,1,106.53,2009,1,37.1,12767
奉贤,板楼,南 北,简装,3,2,132.14,2009,0,37.1,12866
奉贤,板楼,南,平层/精装,3,2,124.32,2011,1,37.0,12871
奉贤,板楼,南,平层/简装,3,2,130.23,2010,0,37.1,12901
奉贤,板楼,南 北,简装,2,1,89.0,2005,0,40.0,12922
奉贤,板楼,南 北,平层/精装,2,2,99.81,2009,0,37.1,12925
奉贤,板楼,南,平层/毛坯,3,2,137.52,2009,1,37.1,12944
奉贤,板楼,南,平层/精装,3,2,130.75,2009,0,37.1,12964
奉贤,板楼,南,平层/毛坯,3,2,131.11,2009,0,37.1,12967
奉贤,板楼,南 北,平层/简装,2,1,80.96,2011,1,54.5,12970
奉贤,板楼,南,平层/简装,2,2,96.67,2009,0,37.1,12983
奉贤,板楼,南,毛坯,2,2,90.96,2010,0,37.1,12995
奉贤,板楼,南 北,平层/精装,2,2,90.78,2013,1,54.5,12999
奉贤,板楼,南,平层/其他,2,1,80.96,2013,1,54.5,13093
奉贤,板楼,南,平层/简装,2,2,87.08,2004,0,54.5,13207
奉贤,板楼,东 西,复式/精装,2,1,101.5,2005,0,40.0,13301
奉贤,板楼,南,平层/简装,2,2,88.69,2015,0,36.7,13305
奉贤,板楼,南 北,平层/精装,3,1,127.0,2011,1,54.5,13386
奉贤,板楼,南,平层/简装,2,1,65.63,2012,1,43.0,13409
