区域,室,厅,房间大小,窗户朝向,装修造型,修建年份,房源,平米房价,电梯,绿化率
浦东,4,3,340.31,南 北,平层/精装,2009年建,板楼,293850,有,51
黄浦,4,2,291.45,南 北,平层/精装,2006年建,板楼,284783,有,35
黄浦,3,2,183.34,南,平层/精装,2006年建,板楼,269991,有,35
黄浦,3,2,277.28,南 北,平层/精装,2005年建,板楼,265076,有,40
黄浦,4,2,322.17,南 北,复式/精装,2006年建,板楼,263836,有,35
黄浦,3,2,192.46,南,平层/简装,2006年建,板楼,262393,有,35
黄浦,3,2,237.13,南 北,精装,2009年建,板楼,261460,有,40
闵行,5,2,462.52,南,复式/简装,2002年建,板楼,259449,无,73
黄浦,2,1,94.09,南,平层/精装,2022年建,板楼,258264,有,35
浦东,2,1,136.07,南 西南,平层/精装,2020年建,板楼,257221,有,35
黄浦,2,2,117.1,南,平层/精装,2022年建,板楼,257046,有,35
黄浦,2,2,94.2,南,平层/精装,2022年建,板楼,254778,有,35
静安,2,2,176.02,南,平层/精装,2013年建,板楼,250654,有,45
黄浦,3,2,190.94,东 西,平层/精装,2020年建,板楼,250341,有,40
黄浦,3,2,140.14,南 北,平层/精装,2006年建,板楼,248324,有,30
静安,3,2,200,南,平层/精装,2014年建,板楼,247500,有,30
黄浦,3,2,187.07,南,平层/简装,2006年建,板楼,246967,有,35
黄浦,3,2,190.61,东 西,平层/精装,2018年建,板楼,246577,有,40
黄浦,5,2,321.36,南 西 北,平层/精装,2014年建,板楼,245831,有,35
黄浦,2,2,123.11,南,精装,2006年建,板楼,243685,有,35
浦东,3,2,173.5,南 北,平层/精装,2018年建,板楼,242018,有,40
静安,4,2,331.71,南 北,平层/精装,2014年建,板楼,241175,有,45
黄浦,3,2,152.72,南 北,平层/精装,2020年建,板楼,240964,有,35
黄浦,4,3,243.21,南 北,复式/精装,2021年建,板楼,240945,有,35
黄浦,2,2,140.38,南,其他,2017年建,板楼,240776,有,40
黄浦,4,1,257.67,南 北,平层/精装,2022年建,板楼,240618,有,35
黄浦,2,2,117.1,南,平层/精装,2022年建,板楼,239966,有,35
黄浦,2,2,108.12,南 北,平层/精装,2003年建,板楼,238624,有,40
黄浦,2,2,92.48,南,精装,2016年建,板楼,237890,有,44
黄浦,4,2,283.9,南 北,平层/精装,2012年建,板楼,237584,有,40
闵行,4,3,345.47,南,复式/精装,2007年建,板楼,237358,无,57
黄浦,3,2,137.57,南,平层/精装,2021年建,板楼,236244,有,35
黄浦,1,1,130.81,南 北,平层/精装,2008年建,板楼,236068,有,40
黄浦,2,2,139.81,南,平层/精装,2006年建,板楼,236035,有,35
黄浦,4,2,243.77,南,平层/精装,2014年建,板楼,235345,有,35
黄浦,2,2,140.38,南,平层/精装,2017年建,板楼,234934,有,40
黄浦,4,3,289.05,南,平层/精装,2020年建,板楼,234908,有,40
黄浦,3,2,137.86,南,平层/精装,2020年建,板楼,234296,有,35
黄浦,3,2,293.11,南,平层/精装,2017年建,板楼,233701,有,40
黄浦,3,2,132.22,南,平层/精装,2003年建,板楼,233551,有,40
黄浦,5,2,321.32,南 西 北,平层/精装,2014年建,板楼,233413,有,35
黄浦,2,2,145.72,南 西,平层/精装,2009年建,板楼,233325,有,40
黄浦,3,2,183.3,南 北,平层/精装,2020年建,板楼,232952,有,35
黄浦,3,2,186.75,南,平层/精装,2006年建,板楼,232932,有,35
黄浦,2,2,137.49,南,平层/精装,2008年建,板楼,232745,有,40
黄浦,3,2,140.16,南,平层/精装,2006年建,板楼,231878,有,35
黄浦,4,2,284.89,南,平层/精装,2012年建,板楼,231669,有,40
黄浦,3,2,138.32,南,平层/精装,2021年建,板楼,231348,有,35
黄浦,3,2,184.01,南 北,平层/精装,2020年建,板楼,230966,有,35
黄浦,2,1,141.29,南,平层/精装,2017年建,板楼,230024,有,40
黄浦,2,2,134.8,南,平层/精装,2008年建,板楼,229971,有,40
黄浦,1,1,90.03,南,平层/精装,2008年建,板楼,229924,有,40
闵行,6,2,383.11,南 北,复式/精装,2003年建,板楼,229700,无,73
黄浦,4,2,142.15,南 北,平层/精装,2017年建,板楼,228984,有,44
黄浦,1,2,91.72,南,精装,2017年建,板楼,228958,有,40
黄浦,4,2,231.52,南 北,平层/精装,2017年建,板楼,228922,有,40
黄浦,4,2,284.75,南,平层/精装,2012年建,板楼,228271,有,40
黄浦,4,2,307.53,南 北,平层/精装,2011年建,板楼,227588,有,50
黄浦,3,2,178.1,南 北,平层/精装,2017年建,板楼,227401,有,35
黄浦,3,2,215.05,南 北,精装,2022年建,板楼,226924,有,35
黄浦,2,2,94.86,南,平层/精装,2018年建,板楼,226650,有,44
徐汇,4,2,433.39,南,平层/精装,2018年建,板楼,226125,有,52
黄浦,2,2,128.34,西南,平层/精装,2009年建,板楼,225885,有,40
黄浦,3,2,193,南 北,平层/精装,2006年建,板楼,225389,有,35
黄浦,6,3,377.58,东 南 北,复式/精装,2015年建,板楼,225118,有,35
黄浦,2,2,158.1,南 西南,平层/精装,2010年建,板楼,224542,有,45
闵行,4,2,373.24,南,复式/精装,2005年建,板楼,223717,无,73
黄浦,3,1,186.97,南 北,平层/精装,2005年建,板楼,223566,有,40
